Gesture_Sequence,Natural_Sentence
Sorry+Home+Pain,I apologize. Take me home. And I am in pain.
Sorry+Home+Emergency,I apologize. I want to go home. And this is an emergency!
Help+Hello+Goodbye,"I need your assistance. Hello. And goodbye."
Help+Hello+Yes,"I need your help. Hello. And yes."
Help+Hello+No,"Please assist me. Hello. And no."
Help+Hello+Please,"I need your assistance. Hello. And if you would, please."
Help+Hello+ThankYou,"I need your help. Hello. And much appreciated."
Help+Hello+Sorry,"Please help me. Hello. And I am sorry."
Help+Hello+Stop,"Please assist me. Hello. And please stop."
Help+Hello+Wait,"I need your help. Hello. And hold on."
Help+Hello+Hungry,"I need your assistance. Hello. And I need food."
Help+Hello+Water,"I need your help. Hello. And I need a drink."
Help+Hello+Pain,"I need your assistance. Hello. And I'm in pain."
Help+Hello+Emergency,"Please assist me. Hello. And this is an emergency!"
Help+Hello+Home,"Please help me. Hello. And I want to go home."
Help+Goodbye+Hello,"I need your assistance. Goodbye. And hello."
Help+Goodbye+Yes,"I need your help. Goodbye. And yes."
Help+Goodbye+No,"Please help me. Goodbye. And no."
Help+Goodbye+Please,"Please help me. Goodbye. And if you would, please."
Help+Goodbye+ThankYou,"Please help me. Goodbye. And much appreciated."
Help+Goodbye+Sorry,"Please assist me. Goodbye. And I am sorry."
Help+Goodbye+Stop,"I need your assistance. Goodbye. And please wait right there."
Help+Goodbye+Wait,"Please help me. Goodbye. And give me a second."
Help+Goodbye+Hungry,"I need your help. Goodbye. And I need food."
Help+Goodbye+Water,I need your assistance. Goodbye. And I need a drink.
Help+Goodbye+Pain,Please help me. Goodbye. And it hurts.
Help+Goodbye+Emergency,Please help me. Goodbye. And this is an emergency!
Help+Goodbye+Home,Please help me. Goodbye. And take me home.
Help+Yes+Hello,"I need your assistance. Yes, that is correct. And hello."
Help+Yes+Goodbye,"Please help me. Yes. And goodbye."
Help+Yes+No,"Please help me. Yes. And no."
Help+Yes+Please,"Please help me. Yes. And if you would, please."
Help+Yes+ThankYou,"Please help me. Yes. And thank you."
Help+Yes+Sorry,"I need your help. Yes. And I am sorry."
Help+Yes+Stop,"Please help me. Yes. And please stop."
Help+Yes+Wait,"I need your assistance. Yes. And please wait a moment."
Help+Yes+Hungry,"Please help me. Yes. And I need food."
Help+Yes+Water,"I need your help. Yes. And I need a drink."
Help+Yes+Pain,"I need your assistance. Yes. And I'm in pain."
Help+Yes+Emergency,"I need your help. Yes. And this is urgent!"
Help+Yes+Home,"Please assist me. Yes. And take me home."
Help+No+Hello,"Please assist me. No. And hello."
Help+No+Goodbye,"I need your help. No. And goodbye."
Help+No+Yes,"I need your assistance. No. And yes."
Help+No+Please,"Please help me. No. And if you would, please."
Help+No+ThankYou,"Please help me. No. And thank you."
Help+No+Sorry,"I need your assistance. No. And I am sorry."
Help+No+Stop,"Please assist me. No. And please wait right there."
Help+No+Wait,"Please help me. No. And wait a moment."
Help+No+Hungry,"Please help me. No. And I need food."
Help+No+Water,"Please assist me. No. And I need a drink."
Help+No+Pain,"I need your help. No. And it hurts."
Help+No+Emergency,"I need your assistance. No. And this is an emergency!"
Help+No+Home,"I need your help. No. And take me home."
Help+Please+Hello,"Please help me. If you would, please. And hello."
Help+Please+Goodbye,"Please help me. If you would, please. And goodbye."
Help+Please+Yes,"Please assist me. If you would, please. And yes."
Help+Please+No,"I need your help. If you would, please. And no."
Help+Please+ThankYou,"I need your assistance. If you would, please. And thank you."
Help+Please+Sorry,"I need your help. If you would, please. And I am sorry."
Help+Please+Stop,"I need your assistance. If you would, please stop."
Help+Please+Wait,"I need your help. If you would, please wait."
Help+Please+Hungry,"Please assist me. If you would, please, I need food."
Help+Please+Water,"Please help me. If you would, please, I need a drink."
Help+Please+Pain,"I need your help. If you would, please, I am in pain."
Help+Please+Emergency,"Please help me. If you would, please, this is urgent!"
Help+Please+Home,"Please assist me. If you would, please, let's go home."
Help+ThankYou+Hello,"Please help me. Much appreciated. And hello."
Help+ThankYou+Goodbye,"Please help me. Thanks. And goodbye."
Help+ThankYou+Yes,"Please assist me. Much appreciated. And yes."
Help+ThankYou+No,"I need your help. Thanks. And no."
Help+ThankYou+Please,"I need your assistance. Thank you. And if you would, please."
Help+ThankYou+Sorry,"Please assist me. Thank you. And I am sorry."
Help+ThankYou+Stop,"Please assist me. Thank you. And please stop."
Help+ThankYou+Wait,"I need your help. Much appreciated. And hold on."
Help+ThankYou+Hungry,"I need your assistance. Much appreciated. And I need food."
Help+ThankYou+Water,"I need your help. Thanks. And I'm thirsty."
Help+ThankYou+Pain,Please assist me. Much appreciated. And it hurts.
Help+ThankYou+Emergency,Please help me. Thanks. And this is an emergency!
Help+ThankYou+Home,Please help me. Much appreciated. And I want to go home.
Help+Sorry+Hello,"I need your assistance. I am sorry. And hello."
Help+Sorry+Goodbye,Please assist me. I apologize. And goodbye.
Help+Sorry+Yes,"I need your help. I apologize. And yes."
Help+Sorry+No,"Please help me. My apologies. And no."
Help+Sorry+Please,"Please help me. My apologies. And if you would, please."
Help+Sorry+ThankYou,"Please help me. I'm sorry. And much appreciated."
Help+Sorry+Stop,"Please assist me. My apologies. And please stop."
Help+Sorry+Wait,"Please assist me. I'm sorry. And hold on."
Help+Sorry+Hungry,"I need your help. My apologies. And I need food."
Help+Sorry+Water,"Please assist me. I apologize. And I'm thirsty."
Help+Sorry+Pain,Please assist me. I apologize. And it hurts.
Help+Sorry+Emergency,Please assist me. My apologies. And this is urgent!
Help+Sorry+Home,Please help me. I apologize. And I want to go home.
Help+Stop+Hello,"I need your assistance. Please halt. And hello."
Help+Stop+Goodbye,I need your help. Please halt. And goodbye.
Help+Stop+Yes,"I need your assistance. Please halt. And yes."
Help+Stop+No,"Please assist me. Please halt. And no."
Help+Stop+Please,"Please assist me. Please halt. And if you would, please."
Help+Stop+ThankYou,"Please assist me. Please stop. And much appreciated."
Help+Stop+Sorry,"Please assist me. Please halt. And I am sorry."
Help+Stop+Wait,"I need your help. Please halt. And hold on."
Help+Stop+Hungry,"Please help me. Please stop. And I need food."
Help+Stop+Water,"Please assist me. Please wait right there. And I'm thirsty."
Help+Stop+Pain,I need your help. Please wait right there. And I am in pain.
Help+Stop+Emergency,I need your assistance. Please halt. And this is an emergency!
Help+Stop+Home,Please assist me. Please wait right there. And I want to go home.
Help+Wait+Hello,"I need your help. Give me a second. And hello."
Help+Wait+Goodbye,Please help me. Please hold on. And goodbye.
Help+Wait+Yes,"Please assist me. Please hold on. And yes."
Help+Wait+No,"Please assist me. Give me a second. And no."
Help+Wait+Please,"Please assist me. Please hold on. And if you would, please."
Help+Wait+ThankYou,"I need your assistance. Please wait a moment. And thank you."
Help+Wait+Sorry,"I need your help. Give me a second. And I am sorry."
Help+Wait+Stop,"Please assist me. Please hold on. And please stop."
Help+Wait+Hungry,"Please assist me. Please wait a moment. And I need food."
Help+Wait+Water,"I need your help. Give me a second. And I need water."
Help+Wait+Pain,I need your assistance. Give me a second. And I am in pain.
Help+Wait+Emergency,I need your help. Give me a second. And this is an emergency!
Help+Wait+Home,I need your assistance. Please wait a moment. And take me home.
Help+Hungry+Hello,"Please help me. I'm hungry. And hello."
Help+Hungry+Goodbye,Please help me. Please get me food. And goodbye.
Help+Hungry+Yes,"I need your help. I need food. And yes."
Help+Hungry+No,"I need your assistance. I'm hungry. And no."
Help+Hungry+Please,"Please help me. Please get me food. And if you would, please."
Help+Hungry+ThankYou,"I need your help. I need food. And thank you."
Help+Hungry+Sorry,"I need your assistance. I'm hungry. And I am sorry."
Help+Hungry+Stop,"I need your help. Please get me food. And please wait right there."
Help+Hungry+Wait,"Please help me. I need food. And please wait a moment."
Help+Hungry+Water,"Please help me. I'm hungry. And I need a drink."
Help+Hungry+Pain,I need your help. I need food. And it hurts.
Help+Hungry+Emergency,Please assist me. I'm hungry. And this is an emergency!
Help+Hungry+Home,Please help me. I'm hungry. And I want to go home.
Help+Water+Hello,"Please help me. I'm thirsty. And hello."
Help+Water+Goodbye,Please help me. Please get me a drink. And goodbye.
Help+Water+Yes,"Please help me. I'm thirsty. And yes."
Help+Water+No,"Please help me. Please get me a drink. And no."
Help+Water+Please,"Please help me. I'm thirsty. And if you would, please."
Help+Water+ThankYou,"Please assist me. I'm thirsty. And much appreciated."
Help+Water+Sorry,"Please assist me. I need water. And I am sorry."
Help+Water+Stop,"Please help me. I need water. And please stop."
Help+Water+Wait,"Please help me. Please get me a drink. And give me a second."
Help+Water+Hungry,"Please assist me. I need water. And I need food."
Help+Water+Pain,Please assist me. Please get me a drink. And I am in pain.
Help+Water+Emergency,Please help me. Please get me a drink. And this is an emergency!
Help+Water+Home,Please assist me. I'm thirsty. And let's go home.
Help+Pain+Hello,"I need your help. I'm in pain. And hello."
Help+Pain+Goodbye,Please help me. I am in pain. And goodbye.
Help+Pain+Yes,"Please assist me. I'm in pain. And yes."
Help+Pain+No,"Please assist me. I am in pain. And no."
Help+Pain+Please,"Please help me. I'm in pain. And if you would, please."
Help+Pain+ThankYou,"Please help me. It hurts. And thank you."
Help+Pain+Sorry,"Please assist me. I'm in pain. And I am sorry."
Help+Pain+Stop,"I need your help. I am in pain. And please wait right there."
Help+Pain+Wait,"Please assist me. I am in pain. And wait a moment."
Help+Pain+Hungry,"Please help me. I am in pain. And I need food."
Help+Pain+Water,Please help me. I'm in pain. And I need a drink.
Help+Pain+Emergency,Please help me. I am in pain. And this is an emergency!
Help+Pain+Home,Please assist me. It hurts. And let's go home.
Help+Emergency+Hello,"Please help me. This is an emergency! And hello."
Help+Emergency+Goodbye,I need your help. This is urgent! And goodbye.
Help+Emergency+Yes,"I need your assistance. This is urgent! And yes."
Help+Emergency+No,"I need your help. This is an emergency! And no."
Help+Emergency+Please,"I need your assistance. This is urgent! And if you would, please."
Help+Emergency+ThankYou,Please help me. This is an emergency! And thank you.
Help+Emergency+Sorry,Please help me. This is an emergency! And I am sorry.
Help+Emergency+Stop,I need your help. This is urgent! And please stop.
Help+Emergency+Wait,I need your assistance. This is urgent! And give me a second.
Help+Emergency+Hungry,Please assist me. This is an emergency! And I need food.
Help+Emergency+Water,Please assist me. This is an emergency! And I need water.
Help+Emergency+Pain,I need your help. This is an emergency! And I'm in pain.
Help+Emergency+Home,I need your assistance. This is urgent! And I want to go home.
Help+Home+Hello,"I need your help. I want to go home. And hello."
Help+Home+Goodbye,I need your assistance. Let's go home. And goodbye.
Help+Home+Yes,"I need your help. Let's go home. And yes."
Help+Home+No,"Please assist me. Let's go home. And no."
Help+Home+Please,"Please help me. Please take me home. And if you would, please."
Help+Home+ThankYou,"Please help me. Please take me home. And much appreciated."
Help+Home+Sorry,"I need your assistance. I want to go home. And I am sorry."
Help+Home+Stop,"I need your help. I want to go home. And please stop."
Help+Home+Wait,"I need your assistance. I want to go home. And wait a moment."
Help+Home+Hungry,"Please assist me. Let's go home. And I need food."
Help+Home+Water,Please assist me. Let's go home. And I need a drink.
Help+Home+Pain,Please help me. I want to go home. And I am in pain.
Help+Home+Emergency,Please help me. Let's go home. And this is urgent!
Stop+Hello+Goodbye,"Please wait right there. Hello. And goodbye."
Stop+Hello+Yes,"Please halt. Hello. And yes, that is correct."
Stop+Hello+No,"Please wait right there. Hello. And no, that is incorrect."
Stop+Hello+Please,"Please wait right there. Hello. And if you would, please."
Stop+Hello+ThankYou,"Please halt. Hello. And thank you."
Stop+Hello+Sorry,"Please stop. Hello. And I am sorry."
Stop+Hello+Help,"Please wait right there. Hello. And I need your assistance."
Stop+Hello+Wait,"Please wait right there. Hello. And give me a second."
Stop+Hello+Hungry,"Please stop. Hello. And I need food."
Stop+Hello+Water,"Please wait right there. Hello. And I need a drink."
Stop+Hello+Pain,"Please stop. Hello. And I am in pain."
Stop+Hello+Emergency,"Please stop. Hello. And this is an emergency!"
Stop+Hello+Home,"Please wait right there. Hello. And let's go home."
Stop+Goodbye+Hello,"Please stop. Goodbye. And hello."
Stop+Goodbye+Yes,"Please wait right there. Goodbye. And yes."
Stop+Goodbye+No,"Please halt. Goodbye. And no."
Stop+Goodbye+Please,"Please halt. Goodbye. And if you would, please."
Stop+Goodbye+ThankYou,"Please halt. Goodbye. And thank you."
Stop+Goodbye+Sorry,"Please wait right there. Goodbye. And I am sorry."
Stop+Goodbye+Help,"Please halt. Goodbye. And I need your help."
Stop+Goodbye+Wait,"Please stop. Goodbye. And hold on."
Stop+Goodbye+Hungry,"Please stop. Goodbye. And I need food."
Stop+Goodbye+Water,Please stop. Goodbye. And I need water.
Stop+Goodbye+Pain,Please stop. Goodbye. And it hurts.
Stop+Goodbye+Emergency,Please stop. Goodbye. And this is an emergency!
Stop+Goodbye+Home,Please wait right there. Goodbye. And take me home.
Stop+Yes+Hello,"Please stop. Yes, that is correct. And hello."
Stop+Yes+Goodbye,"Please halt. Yes. And goodbye."
Stop+Yes+No,"Please stop. Yes. And no, that is incorrect."
Stop+Yes+Please,"Please wait right there. Yes. And if you would, please."
Stop+Yes+ThankYou,"Please wait right there. Yes. And much appreciated."
Stop+Yes+Sorry,"Please stop. Yes. And I am sorry."
Stop+Yes+Help,"Please stop. Yes. And I need your help."
Stop+Yes+Wait,"Please wait right there. Yes. And give me a second."
Stop+Yes+Hungry,"Please halt. Yes. And I'm hungry."
Stop+Yes+Water,"Please wait right there. Yes. And I need a drink."
Stop+Yes+Pain,"Please halt. Yes. And it hurts."
Stop+Yes+Emergency,"Please halt. Yes. And this is an emergency!"
Stop+Yes+Home,"Please halt. Yes. And I want to go home."
Stop+No+Hello,"Please stop. No, that is incorrect. And hello."
Stop+No+Goodbye,"Please halt. No. And goodbye."
Stop+No+Yes,"Please halt. No. And yes, that is correct."
Stop+No+Please,"Please stop. No. And if you would, please."
Stop+No+ThankYou,"Please halt. No. And thank you."
Stop+No+Sorry,"Please stop. No. And I am sorry."
Stop+No+Help,"Please stop. No. And I need your assistance."
Stop+No+Wait,"Please wait right there. No. And give me a second."
Stop+No+Hungry,"Please halt. No. And I need food."
Stop+No+Water,"Please wait right there. No. And I'm thirsty."
Stop+No+Pain,"Please wait right there. No. And it hurts."
Stop+No+Emergency,"Please wait right there. No. And this is urgent!"
Stop+No+Home,"Please halt. No. And let's go home."
Stop+Please+Hello,"Please stop. If you would, please. And hello."
Stop+Please+Goodbye,"Please wait right there. If you would, please. And goodbye."
Stop+Please+Yes,"Please wait right there. If you would, please. And yes."
Stop+Please+No,"Please halt. If you would, please. And no."
Stop+Please+ThankYou,"Please wait right there. If you would, please. And thank you."
Stop+Please+Sorry,"Please halt. If you would, please. And I am sorry."
Stop+Please+Help,"Please stop. If you would, please. And I need your help."
Stop+Please+Wait,"Please wait right there. If you would, please. And hold on."
Stop+Please+Hungry,"Please wait right there. If you would, please. And I'm hungry."
Stop+Please+Water,"Please wait right there. If you would, please. And I need water."
Stop+Please+Pain,"Please halt. If you would, please. And I am in pain."
Stop+Please+Emergency,"Please wait right there. If you would, please. And this is an emergency!"
Stop+Please+Home,"Please stop. If you would, please. And let's go home."
